applicant_id,gender,married,dependents,education,self_employed,applicant_income,coapplicant_income,property_area
LP001552,Male,Yes,0,Graduate,No,4583,5625.0,Semiurban
LP001560,Male,Yes,0,Not Graduate,No,1863,1041.0,Semiurban
LP001565,Male,Yes,1,Graduate,No,3089,1280.0,Semiurban
LP001570,Male,Yes,2,Graduate,No,4167,1447.0,Rural
LP001574,Male,Yes,0,Graduate,No,3707,3166.0,Rural
LP001578,Male,Yes,0,Graduate,No,2439,3333.0,Rural
LP001581,Male,Yes,0,Not Graduate,,1820,1769.0,Rural
LP001585,,Yes,3+,Graduate,No,51763,0.0,Urban
LP001586,Male,Yes,3+,Not Graduate,No,3522,0.0,Rural
LP001603,Male,Yes,0,Not Graduate,Yes,4344,736.0,Semiurban
LP001606,Male,Yes,0,Graduate,No,3497,1964.0,Rural
LP001608,Male,Yes,2,Graduate,No,2045,1619.0,Rural
LP001610,Male,Yes,3+,Graduate,No,5516,11300.0,Semiurban
LP001616,Male,Yes,1,Graduate,No,3750,0.0,Semiurban
LP001630,Male,No,0,Not Graduate,No,2333,1451.0,Urban
LP001633,Male,Yes,1,Graduate,No,6400,7250.0,Urban
LP001634,Male,No,0,Graduate,No,1916,5063.0,Rural
LP001636,Male,Yes,0,Graduate,No,4600,0.0,Semiurban
LP001639,Female,Yes,0,Graduate,No,3625,0.0,Semiurban
LP001640,Male,Yes,0,Graduate,Yes,39147,4750.0,Semiurban
LP001641,Male,Yes,1,Graduate,Yes,2178,0.0,Rural
LP001643,Male,Yes,0,Graduate,No,2383,2138.0,Rural
LP001644,,Yes,0,Graduate,Yes,674,5296.0,Rural
LP001647,Male,Yes,0,Graduate,No,9328,0.0,Rural
LP001653,Male,No,0,Not Graduate,No,4885,0.0,Rural
LP001665,Male,Yes,1,Graduate,No,3125,2583.0,Semiurban
LP001666,Male,No,0,Graduate,No,8333,3750.0,Rural
LP001669,Female,No,0,Not Graduate,No,1907,2365.0,Urban
LP001671,Female,Yes,0,Graduate,No,3416,2816.0,Semiurban
LP001674,Male,Yes,1,Not Graduate,No,2600,2500.0,Semiurban
LP001677,Male,No,2,Graduate,No,4923,0.0,Semiurban
LP001682,Male,Yes,3+,Not Graduate,No,3992,0.0,Urban
LP001688,Male,Yes,1,Not Graduate,No,3500,1083.0,Urban
LP001691,Male,Yes,2,Not Graduate,No,3917,0.0,Semiurban
LP001692,Female,No,0,Not Graduate,No,4408,0.0,Semiurban
LP001698,Male,No,0,Not Graduate,No,3975,2531.0,Rural
LP001711,Male,Yes,3+,Graduate,No,3430,1250.0,Semiurban
LP001713,Male,Yes,1,Graduate,Yes,7787,0.0,Urban
LP001715,Male,Yes,3+,Not Graduate,Yes,5703,0.0,Rural
LP001716,Male,Yes,0,Graduate,No,3173,3021.0,Urban
LP001720,Male,Yes,3+,Not Graduate,No,3850,983.0,Semiurban
LP001722,Male,Yes,0,Graduate,No,150,1800.0,Rural
LP001726,Male,Yes,0,Graduate,No,3727,1775.0,Semiurban
LP001732,Male,Yes,2,Graduate,,5000,0.0,Semiurban
LP001734,Female,Yes,2,Graduate,No,4283,2383.0,Semiurban
LP001743,Male,Yes,2,Graduate,No,4009,1717.0,Semiurban
LP001744,Male,No,0,Graduate,No,2971,2791.0,Semiurban
LP001749,Male,Yes,0,Graduate,No,7578,1010.0,Semiurban
LP001754,Male,Yes,,Not Graduate,Yes,4735,0.0,Urban
LP001758,Male,Yes,2,Graduate,No,6250,1695.0,Semiurban
LP001760,Male,,,Graduate,No,4758,0.0,Semiurban
LP001761,Male,No,0,Graduate,Yes,6400,0.0,Rural
LP001765,Male,Yes,1,Graduate,No,2491,2054.0,Semiurban
LP001768,Male,Yes,0,Graduate,,3716,0.0,Rural
LP001770,Male,No,0,Not Graduate,No,3189,2598.0,Rural
LP001778,Male,Yes,1,Graduate,No,3155,1779.0,Semiurban
LP001784,Male,Yes,1,Graduate,No,5500,1260.0,Rural
LP001786,Male,Yes,0,Graduate,,5746,0.0,Urban
LP001788,Female,No,0,Graduate,Yes,3463,0.0,Urban
LP001790,Female,No,1,Graduate,No,3812,0.0,Rural
LP001798,Male,Yes,2,Graduate,No,5819,5000.0,Rural
LP001800,Male,Yes,1,Not Graduate,No,2510,1983.0,Urban
LP001806,Male,No,0,Graduate,No,2965,5701.0,Urban
LP001807,Male,Yes,2,Graduate,Yes,6250,1300.0,Rural
LP001811,Male,Yes,0,Not Graduate,No,3406,4417.0,Semiurban
LP001813,Male,No,0,Graduate,Yes,6050,4333.0,Urban
LP001819,Male,Yes,1,Not Graduate,No,6608,0.0,Urban
LP001824,Male,Yes,1,Graduate,No,2882,1843.0,Semiurban
LP001825,Male,Yes,0,Graduate,No,1809,1868.0,Urban
LP001835,Male,Yes,0,Not Graduate,No,1668,3890.0,Semiurban
LP001836,Female,No,2,Graduate,No,3427,0.0,Urban
LP001841,Male,No,0,Not Graduate,Yes,2583,2167.0,Rural
LP001843,Male,Yes,1,Not Graduate,No,2661,7101.0,Semiurban
LP001846,Female,No,3+,Graduate,No,3083,0.0,Rural
LP001859,Male,Yes,0,Graduate,No,14683,2100.0,Rural
LP001865,Male,Yes,1,Graduate,No,6083,4250.0,Urban
LP001868,Male,No,0,Graduate,No,2060,2209.0,Semiurban
LP001870,Female,No,1,Graduate,No,3481,0.0,Semiurban
LP001875,Male,No,0,Graduate,No,4095,3447.0,Rural
LP001877,Male,Yes,2,Graduate,No,4708,1387.0,Semiurban
LP001882,Male,Yes,3+,Graduate,No,4333,1811.0,Urban
LP001883,Female,No,0,Graduate,,3418,0.0,Rural
LP001884,Female,No,1,Graduate,No,2876,1560.0,Urban
LP001892,Male,No,0,Graduate,No,2833,1857.0,Rural
LP001894,Male,Yes,0,Graduate,No,2620,2223.0,Semiurban
LP001900,Male,Yes,1,Graduate,No,2750,1842.0,Semiurban
LP001903,Male,Yes,0,Graduate,No,3993,3274.0,Semiurban
LP001904,Male,Yes,0,Graduate,No,3103,1300.0,Urban
LP001908,Female,Yes,0,Not Graduate,No,4100,0.0,Rural
LP001910,Male,No,1,Not Graduate,Yes,4053,2426.0,Urban
LP001914,Male,Yes,0,Graduate,No,3927,800.0,Semiurban
LP001915,Male,Yes,2,Graduate,No,2301,985.7999878,Urban
LP001917,Female,No,0,Graduate,No,1811,1666.0,Urban
LP001924,Male,No,0,Graduate,No,3158,3053.0,Rural
LP001925,Female,No,0,Graduate,Yes,2600,1717.0,Semiurban
LP001926,Male,Yes,0,Graduate,No,3704,2000.0,Rural
LP001936,Male,Yes,0,Graduate,No,3075,2416.0,Rural
LP001940,Male,Yes,2,Graduate,No,3153,1560.0,Urban
LP001945,Female,No,,Graduate,No,5417,0.0,Urban
LP001947,Male,Yes,0,Graduate,No,2383,3334.0,Semiurban
LP001949,Male,Yes,3+,Graduate,,4416,1250.0,Urban
LP001954,Female,Yes,1,Graduate,No,4666,0.0,Urban
LP001955,Female,No,0,Graduate,No,5000,2541.0,Rural
LP001963,Male,Yes,1,Graduate,No,2014,2925.0,Urban
LP001964,Male,Yes,0,Not Graduate,No,1800,2934.0,Urban
LP001972,Male,Yes,,Not Graduate,No,2875,1750.0,Semiurban
LP001977,Male,Yes,1,Graduate,No,1625,1803.0,Urban
LP001978,Male,No,0,Graduate,No,4000,2500.0,Rural
LP001994,Female,No,0,Graduate,No,2400,1863.0,Urban
LP002004,Male,No,0,Not Graduate,No,2927,2405.0,Semiurban
LP002008,Male,Yes,2,Graduate,Yes,5746,0.0,Rural
LP002024,,Yes,0,Graduate,No,2473,1843.0,Rural
LP002031,Male,Yes,1,Not Graduate,No,3399,1640.0,Urban
LP002036,Male,Yes,0,Graduate,No,2058,2134.0,Urban
LP002051,Male,Yes,0,Graduate,No,2400,2167.0,Semiurban
LP002053,Male,Yes,3+,Graduate,No,4342,189.0,Semiurban
LP002054,Male,Yes,2,Not Graduate,No,3601,1590.0,Rural
LP002055,Female,No,0,Graduate,No,3166,2985.0,Rural
LP002065,Male,Yes,3+,Graduate,No,15000,0.0,Rural
LP002067,Male,Yes,1,Graduate,Yes,8666,4983.0,Rural
LP002082,Male,Yes,0,Graduate,Yes,5818,2160.0,Semiurban
LP002086,Female,Yes,0,Graduate,No,4333,2451.0,Urban
LP002097,Male,No,1,Graduate,No,4384,1793.0,Urban
LP002100,Male,No,,Graduate,No,2833,0.0,Urban
LP002103,,Yes,1,Graduate,Yes,9833,1833.0,Urban
LP002106,Male,Yes,,Graduate,Yes,5503,4490.0,Semiurban
LP002110,Male,Yes,1,Graduate,,5250,688.0,Rural
LP002112,Male,Yes,2,Graduate,Yes,2500,4600.0,Rural
LP002113,Female,No,3+,Not Graduate,No,1830,0.0,Urban
LP002115,Male,Yes,3+,Not Graduate,No,2647,1587.0,Rural
LP002119,Male,Yes,1,Not Graduate,No,4554,1229.0,Urban
LP002128,Male,Yes,2,Graduate,,2583,2330.0,Rural
LP002129,Male,Yes,0,Graduate,No,2499,2458.0,Semiurban
LP002130,Male,Yes,,Not Graduate,No,3523,3230.0,Rural
LP002131,Male,Yes,2,Not Graduate,No,3083,2168.0,Urban
LP002137,Male,Yes,0,Graduate,No,6333,4583.0,Semiurban
LP002138,Male,Yes,0,Graduate,No,2625,6250.0,Rural
LP002140,Male,No,0,Graduate,No,8750,4167.0,Rural
LP002141,Male,Yes,3+,Graduate,No,2666,2083.0,Rural
LP002142,Female,Yes,0,Graduate,Yes,5500,0.0,Rural
LP002143,Female,Yes,0,Graduate,No,2423,505.0,Semiurban
LP002149,Male,Yes,2,Graduate,No,8333,3167.0,Rural
LP002158,Male,Yes,0,Not Graduate,No,3000,1666.0,Urban
LP002160,Male,Yes,3+,Graduate,No,5167,3167.0,Semiurban
LP002170,Male,Yes,2,Graduate,No,5000,3667.0,Semiurban
LP002175,Male,Yes,0,Graduate,No,4750,2333.0,Urban
LP002178,Male,Yes,0,Graduate,No,3013,3033.0,Urban
LP002191,Male,Yes,0,Graduate,No,19730,5266.0,Rural
LP002194,Female,No,0,Graduate,Yes,15759,0.0,Semiurban
LP002201,Male,Yes,2,Graduate,Yes,9323,7873.0,Rural
LP002205,Male,No,1,Graduate,No,3062,1987.0,Urban
LP002209,Female,No,0,Graduate,,2764,1459.0,Urban
LP002211,Male,Yes,0,Graduate,No,4817,923.0,Urban
LP002219,Male,Yes,3+,Graduate,No,8750,4996.0,Rural
LP002226,Male,Yes,0,Graduate,,3333,2500.0,Semiurban
LP002229,Male,No,0,Graduate,No,5941,4232.0,Semiurban
LP002237,Male,No,1,Graduate,,3667,0.0,Urban
LP002239,Male,No,0,Not Graduate,No,2346,1600.0,Semiurban
LP002243,Male,Yes,0,Not Graduate,No,3010,3136.0,Urban
LP002244,Male,Yes,0,Graduate,No,2333,2417.0,Urban
LP002255,Male,No,3+,Graduate,No,9167,0.0,Rural
LP002263,Male,Yes,0,Graduate,No,2583,2115.0,Urban
LP002265,Male,Yes,2,Not Graduate,No,1993,1625.0,Semiurban
LP002266,Male,Yes,2,Graduate,No,3100,1400.0,Urban
LP002272,Male,Yes,2,Graduate,No,3276,484.0,Semiurban
LP002281,Male,Yes,0,Graduate,No,3033,1459.0,Urban
LP002284,Male,No,0,Not Graduate,No,3902,1666.0,Rural
LP002287,Female,No,0,Graduate,No,1500,1800.0,Semiurban
LP002288,Male,Yes,2,Not Graduate,No,2889,0.0,Urban
LP002297,Male,No,0,Graduate,No,2500,20000.0,Semiurban
LP002301,Female,No,0,Graduate,Yes,7441,0.0,Rural
LP002308,Male,Yes,0,Not Graduate,No,2167,2400.0,Urban
LP002314,Female,No,0,Not Graduate,No,2213,0.0,Rural
LP002318,Female,No,1,Not Graduate,Yes,3867,0.0,Semiurban
LP002332,Male,Yes,0,Not Graduate,No,2253,2033.0,Rural
LP002335,Female,Yes,0,Not Graduate,No,2149,3237.0,Semiurban
LP002341,Female,No,1,Graduate,No,2600,0.0,Urban
LP002342,Male,Yes,2,Graduate,Yes,1600,20000.0,Urban
LP002345,Male,Yes,0,Graduate,No,1025,2773.0,Rural
LP002347,Male,Yes,0,Graduate,No,3246,1417.0,Semiurban
LP002357,Female,No,0,Not Graduate,No,2720,0.0,Urban
LP002361,Male,Yes,0,Graduate,No,1820,1719.0,Urban
LP002362,Male,Yes,1,Graduate,No,7250,1667.0,Urban
LP002366,Male,Yes,0,Graduate,No,2666,4300.0,Rural
LP002367,Female,No,1,Not Graduate,No,4606,0.0,Rural
LP002369,Male,Yes,0,Graduate,No,2920,16.12000084,Rural
LP002387,Male,Yes,0,Graduate,No,2425,2340.0,Semiurban
LP002393,Female,,,Graduate,No,10047,0.0,Semiurban
LP002398,Male,No,0,Graduate,No,1926,1851.0,Semiurban
LP002401,Male,Yes,0,Graduate,No,2213,1125.0,Urban
LP002407,Female,Yes,0,Not Graduate,Yes,7142,0.0,Rural
LP002408,Male,No,0,Graduate,No,3660,5064.0,Semiurban
LP002409,Male,Yes,0,Graduate,No,7901,1833.0,Rural
LP002418,Male,No,3+,Not Graduate,No,4707,1993.0,Semiurban
LP002422,Male,No,1,Graduate,No,37719,0.0,Semiurban
LP002424,Male,Yes,0,Graduate,No,7333,8333.0,Rural
LP002429,Male,Yes,1,Graduate,Yes,3466,1210.0,Rural
LP002435,Male,Yes,0,Graduate,,3539,1376.0,Rural
LP002443,Male,Yes,2,Graduate,No,3340,1710.0,Rural
LP002444,Male,No,1,Not Graduate,Yes,2769,1542.0,Semiurban
LP002446,Male,Yes,2,Not Graduate,No,2309,1255.0,Rural
LP002447,Male,Yes,2,Not Graduate,No,1958,1456.0,Urban
LP002448,Male,Yes,0,Graduate,No,3948,1733.0,Rural
LP002449,Male,Yes,0,Graduate,No,2483,2466.0,Rural
LP002467,Male,Yes,0,Graduate,No,3708,2569.0,Urban
LP002472,Male,No,2,Graduate,No,4354,0.0,Rural
LP002478,,Yes,0,Graduate,Yes,2083,4083.0,Semiurban
LP002487,Male,Yes,0,Graduate,No,3015,2188.0,Rural
LP002489,Female,No,1,Not Graduate,,5191,0.0,Semiurban
LP002500,Male,Yes,3+,Not Graduate,No,2947,1664.0,Urban
LP002501,,Yes,0,Graduate,No,16692,0.0,Semiurban
LP002502,Female,Yes,2,Not Graduate,,210,2917.0,Semiurban
LP002505,Male,Yes,0,Graduate,No,4333,2451.0,Urban
LP002515,Male,Yes,1,Graduate,Yes,3450,2079.0,Semiurban
LP002517,Male,Yes,1,Not Graduate,No,2653,1500.0,Rural
LP002524,Male,No,2,Graduate,No,5532,4648.0,Rural
LP002527,Male,Yes,2,Graduate,Yes,16525,1014.0,Rural
LP002529,Male,Yes,2,Graduate,No,6700,1750.0,Semiurban
LP002530,,Yes,2,Graduate,No,2873,1872.0,Semiurban
LP002531,Male,Yes,1,Graduate,Yes,16667,2250.0,Semiurban
LP002533,Male,Yes,2,Graduate,No,2947,1603.0,Urban
LP002537,Male,Yes,0,Graduate,No,2083,3150.0,Semiurban
LP002544,Male,Yes,1,Not Graduate,No,1958,2436.0,Rural
LP002555,Male,Yes,2,Graduate,Yes,4583,2083.0,Semiurban
LP002560,Male,No,0,Not Graduate,No,2699,2785.0,Semiurban
LP002562,Male,Yes,1,Not Graduate,No,5333,1131.0,Urban
LP002582,Female,No,0,Not Graduate,Yes,17263,0.0,Semiurban
LP002585,Male,Yes,0,Graduate,No,3597,2157.0,Rural
LP002586,Female,Yes,1,Graduate,No,3326,913.0,Semiurban
LP002587,Male,Yes,0,Not Graduate,No,2600,1700.0,Rural
LP002588,Male,Yes,0,Graduate,No,4625,2857.0,Urban
LP002602,Male,No,0,Graduate,No,6283,4416.0,Rural
LP002603,Female,No,0,Graduate,No,645,3683.0,Rural
LP002615,Male,Yes,2,Graduate,No,4865,5624.0,Semiurban
LP002618,Male,Yes,1,Not Graduate,No,4050,5302.0,Rural
LP002619,Male,Yes,0,Not Graduate,No,3814,1483.0,Semiurban
LP002622,Male,Yes,2,Graduate,No,3510,4416.0,Rural
LP002624,Male,Yes,0,Graduate,No,20833,6667.0,Urban
LP002625,,No,0,Graduate,No,3583,0.0,Urban
LP002626,Male,Yes,0,Graduate,Yes,2479,3013.0,Urban
LP002637,Male,No,0,Not Graduate,No,3598,1287.0,Rural
LP002640,Male,Yes,1,Graduate,No,6065,2004.0,Semiurban
LP002643,Male,Yes,2,Graduate,No,3283,2035.0,Urban
LP002648,Male,Yes,0,Graduate,No,2130,6666.0,Semiurban
LP002652,Male,No,0,Graduate,No,5815,3666.0,Rural
LP002659,Male,Yes,3+,Graduate,No,3466,3428.0,Rural
LP002670,Female,Yes,2,Graduate,No,2031,1632.0,Semiurban
LP002682,Male,Yes,,Not Graduate,No,3074,1800.0,Semiurban
LP002683,Male,No,0,Graduate,No,4683,1915.0,Semiurban
LP002689,Male,Yes,2,Not Graduate,No,2192,1742.0,Semiurban
LP002692,Male,Yes,3+,Graduate,Yes,5677,1424.0,Rural
LP002693,Male,Yes,2,Graduate,Yes,7948,7166.0,Rural
LP002697,Male,No,0,Graduate,No,4680,2087.0,Semiurban
LP002706,Male,Yes,1,Not Graduate,No,5285,1430.0,Semiurban
LP002714,Male,No,1,Not Graduate,No,2679,1302.0,Semiurban
LP002717,Male,Yes,0,Graduate,No,1025,5500.0,Rural
LP002731,Female,No,0,Not Graduate,Yes,18165,0.0,Urban
LP002732,Male,No,0,Not Graduate,,2550,2042.0,Rural
LP002734,Male,Yes,0,Graduate,No,6133,3906.0,Urban
LP002739,Male,Yes,0,Not Graduate,No,2917,536.0,Rural
LP002741,Female,Yes,1,Graduate,No,4608,2845.0,Semiurban
LP002753,Female,No,1,Graduate,,3652,0.0,Semiurban
LP002755,Male,Yes,1,Not Graduate,No,2239,2524.0,Urban
LP002757,Female,Yes,0,Not Graduate,No,3017,663.0,Semiurban
LP002767,Male,Yes,0,Graduate,No,2768,1950.0,Rural
LP002772,Male,No,0,Graduate,No,2526,1783.0,Rural
LP002777,Male,Yes,0,Graduate,No,2785,2016.0,Rural
LP002784,Male,Yes,1,Not Graduate,No,2492,2375.0,Rural
LP002785,Male,Yes,1,Graduate,No,3333,3250.0,Urban
LP002788,Male,Yes,0,Not Graduate,No,2454,2333.0,Urban
LP002789,Male,Yes,0,Graduate,No,3593,4266.0,Rural
LP002792,Male,Yes,1,Graduate,No,5468,1032.0,Semiurban
LP002794,Female,No,0,Graduate,No,2667,1625.0,Urban
LP002795,Male,Yes,3+,Graduate,Yes,10139,0.0,Semiurban
LP002798,Male,Yes,0,Graduate,No,3887,2669.0,Semiurban
LP002804,Female,Yes,0,Graduate,No,4180,2306.0,Semiurban
LP002807,Male,Yes,2,Not Graduate,No,3675,242.0,Semiurban
LP002813,Female,Yes,1,Graduate,Yes,19484,0.0,Semiurban
LP002820,Male,Yes,0,Graduate,No,5923,2054.0,Rural
LP002821,Male,No,0,Not Graduate,Yes,5800,0.0,Semiurban
LP002837,Male,Yes,3+,Graduate,No,3400,2500.0,Rural
LP002841,Male,Yes,0,Graduate,No,3166,2064.0,Urban
LP002842,Male,Yes,1,Graduate,No,3417,1750.0,Urban
